time,meter_name,status,fault_groups
2025-08-29 14:21:14.980155,M2.2,OK,
2025-08-29 14:21:15.030114,M3.1,OK,
2025-08-29 14:21:15.030114,M3.2,OK,
2025-08-29 14:21:20.080188,M1.1,OK,
2025-08-29 14:21:20.080188,M1.2,OK,
2025-08-29 14:21:20.080188,M1.3,OK,
2025-08-29 14:21:20.080188,M1.4,OK,
2025-08-29 14:21:20.178976,M2.1,OK,
2025-08-29 14:21:20.178976,M2.2,OK,
2025-08-29 14:21:20.231827,M3.1,OK,
2025-08-29 14:21:20.231827,M3.2,OK,
2025-08-29 14:21:25.281450,M1.1,OK,
2025-08-29 14:21:25.281450,M1.2,OK,
2025-08-29 14:21:25.281450,M1.3,OK,
2025-08-29 14:21:25.281450,M1.4,OK,
2025-08-29 14:21:25.419833,M2.1,OK,
2025-08-29 14:21:25.419833,M2.2,OK,
2025-08-29 14:21:25.514103,M3.1,OK,
2025-08-29 14:21:25.514103,M3.2,OK,
2025-08-29 14:21:30.563728,M1.1,OK,
2025-08-29 14:21:30.563728,M1.2,OK,
2025-08-29 14:21:30.563728,M1.3,OK,
2025-08-29 14:21:30.563728,M1.4,OK,
2025-08-29 14:21:30.729211,M2.1,OK,
2025-08-29 14:21:30.729211,M2.2,OK,
2025-08-29 14:21:30.778248,M3.1,OK,
2025-08-29 14:21:30.778248,M3.2,OK,
2025-08-29 14:21:35.827923,M1.1,OK,
2025-08-29 14:21:35.827923,M1.2,OK,
2025-08-29 14:21:35.827923,M1.3,OK,
2025-08-29 14:21:35.827923,M1.4,OK,
2025-08-29 14:21:35.980185,M2.1,OK,
2025-08-29 14:21:35.980185,M2.2,OK,
2025-08-29 14:21:36.028355,M3.1,OK,
2025-08-29 14:21:36.028355,M3.2,OK,
2025-08-29 14:21:41.076875,M1.1,OK,
2025-08-29 14:21:41.076875,M1.2,OK,
2025-08-29 14:21:41.076875,M1.3,OK,
2025-08-29 14:21:41.076875,M1.4,OK,
2025-08-29 14:21:41.239187,M2.1,OK,
2025-08-29 14:21:41.239187,M2.2,OK,
2025-08-29 14:21:41.291301,M3.1,OK,
2025-08-29 14:21:41.291301,M3.2,OK,
2025-08-29 14:21:46.339706,M1.1,OK,
2025-08-29 14:21:46.339706,M1.2,OK,
2025-08-29 14:21:46.339706,M1.3,OK,
2025-08-29 14:21:46.339706,M1.4,OK,
2025-08-29 14:21:46.484909,M2.1,OK,
2025-08-29 14:21:46.484909,M2.2,OK,
